uri,label_en
https://www.congress.gov/help/field-values/legislative-subject-terms#1,AIDS (Disease)
https://www.congress.gov/help/field-values/legislative-subject-terms#2,ASEAN countries
https://www.congress.gov/help/field-values/legislative-subject-terms#3,Abandonment of family
https://www.congress.gov/help/field-values/legislative-subject-terms#4,Abortion
https://www.congress.gov/help/field-values/legislative-subject-terms#5,Absentee voting
https://www.congress.gov/help/field-values/legislative-subject-terms#6,Academic freedom
https://www.congress.gov/help/field-values/legislative-subject-terms#7,Academic performance
https://www.congress.gov/help/field-values/legislative-subject-terms#8,Academic performance and assessments
https://www.congress.gov/help/field-values/legislative-subject-terms#9,Access Board
https://www.congress.gov/help/field-values/legislative-subject-terms#10,Access to airports
https://www.congress.gov/help/field-values/legislative-subject-terms#11,Access to health care
https://www.congress.gov/help/field-values/legislative-subject-terms#12,Accident insurance
https://www.congress.gov/help/field-values/legislative-subject-terms#13,Accident prevention
https://www.congress.gov/help/field-values/legislative-subject-terms#14,Accidents
https://www.congress.gov/help/field-values/legislative-subject-terms#15,Accounting
https://www.congress.gov/help/field-values/legislative-subject-terms#16,Accounting and auditing
https://www.congress.gov/help/field-values/legislative-subject-terms#17,Accreditation (Education)
https://www.congress.gov/help/field-values/legislative-subject-terms#18,Accreditation (Medical care)
https://www.congress.gov/help/field-values/legislative-subject-terms#19,Acid rain
https://www.congress.gov/help/field-values/legislative-subject-terms#20,Acreage allotments
https://www.congress.gov/help/field-values/legislative-subject-terms#21,Acupuncture
https://www.congress.gov/help/field-values/legislative-subject-terms#22,Adams Administration
https://www.congress.gov/help/field-values/legislative-subject-terms#23,Administration of justice
https://www.congress.gov/help/field-values/legislative-subject-terms#24,Administrative Conference of the U.S.
https://www.congress.gov/help/field-values/legislative-subject-terms#25,Administrative courts
https://www.congress.gov/help/field-values/legislative-subject-terms#26,Administrative fees
https://www.congress.gov/help/field-values/legislative-subject-terms#27,Administrative law and regulatory procedures
https://www.congress.gov/help/field-values/legislative-subject-terms#28,Administrative law judges
https://www.congress.gov/help/field-values/legislative-subject-terms#29,Administrative procedure
https://www.congress.gov/help/field-values/legislative-subject-terms#30,Administrative remedies
https://www.congress.gov/help/field-values/legislative-subject-terms#31,Admission of nonimmigrants
https://www.congress.gov/help/field-values/legislative-subject-terms#32,Adoption
https://www.congress.gov/help/field-values/legislative-subject-terms#33,Adoption and foster care
https://www.congress.gov/help/field-values/legislative-subject-terms#34,Adult day care
https://www.congress.gov/help/field-values/legislative-subject-terms#35,Adult education
https://www.congress.gov/help/field-values/legislative-subject-terms#36,Adult education and literacy
https://www.congress.gov/help/field-values/legislative-subject-terms#37,Advanced technology and technological innovations
https://www.congress.gov/help/field-values/legislative-subject-terms#38,Advanced weapons
https://www.congress.gov/help/field-values/legislative-subject-terms#39,Advertising
https://www.congress.gov/help/field-values/legislative-subject-terms#40,Advice and consent of the Senate
https://www.congress.gov/help/field-values/legislative-subject-terms#41,Advisory bodies
https://www.congress.gov/help/field-values/legislative-subject-terms#42,Aerial photography
https://www.congress.gov/help/field-values/legislative-subject-terms#43,Aeronautics
https://www.congress.gov/help/field-values/legislative-subject-terms#44,Aerosol propellants
https://www.congress.gov/help/field-values/legislative-subject-terms#45,Aerospace industries
https://www.congress.gov/help/field-values/legislative-subject-terms#46,Affiliated corporations
https://www.congress.gov/help/field-values/legislative-subject-terms#47,Affirmative action programs
https://www.congress.gov/help/field-values/legislative-subject-terms#48,Affordable housing
https://www.congress.gov/help/field-values/legislative-subject-terms#49,Afghanistan
https://www.congress.gov/help/field-values/legislative-subject-terms#50,Aflatoxins
https://www.congress.gov/help/field-values/legislative-subject-terms#51,Africa
https://www.congress.gov/help/field-values/legislative-subject-terms#52,Africa (Sub-Saharan)
https://www.congress.gov/help/field-values/legislative-subject-terms#53,African Development Foundation
https://www.congress.gov/help/field-values/legislative-subject-terms#54,Africans
https://www.congress.gov/help/field-values/legislative-subject-terms#55,Age
https://www.congress.gov/help/field-values/legislative-subject-terms#56,Age and employment
https://www.congress.gov/help/field-values/legislative-subject-terms#57,Age discrimination
https://www.congress.gov/help/field-values/legislative-subject-terms#58,Aggression
https://www.congress.gov/help/field-values/legislative-subject-terms#59,Aging
https://www.congress.gov/help/field-values/legislative-subject-terms#60,Agribusiness
https://www.congress.gov/help/field-values/legislative-subject-terms#61,Agricultural accidents and safety
https://www.congress.gov/help/field-values/legislative-subject-terms#62,Agricultural assistance
https://www.congress.gov/help/field-values/legislative-subject-terms#63,Agricultural chemicals
https://www.congress.gov/help/field-values/legislative-subject-terms#64,Agricultural colleges
https://www.congress.gov/help/field-values/legislative-subject-terms#65,Agricultural conservation
https://www.congress.gov/help/field-values/legislative-subject-terms#66,Agricultural conservation and pollution
https://www.congress.gov/help/field-values/legislative-subject-terms#67,Agricultural cooperatives
https://www.congress.gov/help/field-values/legislative-subject-terms#68,Agricultural credit
https://www.congress.gov/help/field-values/legislative-subject-terms#69,Agricultural diversification
https://www.congress.gov/help/field-values/legislative-subject-terms#70,Agricultural economics
https://www.congress.gov/help/field-values/legislative-subject-terms#71,Agricultural education
https://www.congress.gov/help/field-values/legislative-subject-terms#72,Agricultural equipment and machinery
https://www.congress.gov/help/field-values/legislative-subject-terms#73,Agricultural estimating and reporting
https://www.congress.gov/help/field-values/legislative-subject-terms#74,Agricultural experiment stations
https://www.congress.gov/help/field-values/legislative-subject-terms#75,Agricultural extension work
https://www.congress.gov/help/field-values/legislative-subject-terms#76,Agricultural industries
https://www.congress.gov/help/field-values/legislative-subject-terms#77,Agricultural innovations
https://www.congress.gov/help/field-values/legislative-subject-terms#78,Agricultural insurance
https://www.congress.gov/help/field-values/legislative-subject-terms#79,Agricultural labor
https://www.congress.gov/help/field-values/legislative-subject-terms#80,Agricultural machinery
https://www.congress.gov/help/field-values/legislative-subject-terms#81,Agricultural marketing and promotion
https://www.congress.gov/help/field-values/legislative-subject-terms#82,Agricultural pollution
https://www.congress.gov/help/field-values/legislative-subject-terms#83,Agricultural practices and innovations
https://www.congress.gov/help/field-values/legislative-subject-terms#84,Agricultural prices
https://www.congress.gov/help/field-values/legislative-subject-terms#85,"Agricultural prices, subsidies, credit"
https://www.congress.gov/help/field-values/legislative-subject-terms#86,Agricultural production
https://www.congress.gov/help/field-values/legislative-subject-terms#87,Agricultural research
