uri,label_en
https://www.congress.gov/help/field-values/policy-area#1,Agriculture and Food
https://www.congress.gov/help/field-values/policy-area#2,Animals
https://www.congress.gov/help/field-values/policy-area#3,Armed Forces and National Security
https://www.congress.gov/help/field-values/policy-area#4,"Arts, Culture, Religion"
https://www.congress.gov/help/field-values/policy-area#5,"Civil Rights and Liberties, Minority Issues"
https://www.congress.gov/help/field-values/policy-area#6,Commemorations
https://www.congress.gov/help/field-values/policy-area#7,Commerce
https://www.congress.gov/help/field-values/policy-area#8,Congress
https://www.congress.gov/help/field-values/policy-area#9,Crime and Law Enforcement
https://www.congress.gov/help/field-values/policy-area#10,Economics and Public Finance
https://www.congress.gov/help/field-values/policy-area#11,Education
https://www.congress.gov/help/field-values/policy-area#12,Emergency Management
https://www.congress.gov/help/field-values/policy-area#13,Energy
https://www.congress.gov/help/field-values/policy-area#14,Environmental Protection
https://www.congress.gov/help/field-values/policy-area#15,Families
https://www.congress.gov/help/field-values/policy-area#16,Finance and Financial Sector
https://www.congress.gov/help/field-values/policy-area#17,Foreign Trade and International Finance
https://www.congress.gov/help/field-values/policy-area#18,Government Operations and Politics
https://www.congress.gov/help/field-values/policy-area#19,Health
https://www.congress.gov/help/field-values/policy-area#20,Housing and Community Development
https://www.congress.gov/help/field-values/policy-area#21,Immigration
https://www.congress.gov/help/field-values/policy-area#22,International Affairs
https://www.congress.gov/help/field-values/policy-area#23,Labor and Employment
https://www.congress.gov/help/field-values/policy-area#24,Law
https://www.congress.gov/help/field-values/policy-area#25,Native Americans
https://www.congress.gov/help/field-values/policy-area#26,Private Legislation
https://www.congress.gov/help/field-values/policy-area#27,Public Lands and Natural Resources
https://www.congress.gov/help/field-values/policy-area#28,"Science, Technology, Communications"
https://www.congress.gov/help/field-values/policy-area#29,Social Sciences and History
https://www.congress.gov/help/field-values/policy-area#30,Social Welfare
https://www.congress.gov/help/field-values/policy-area#31,Sports and Recreation
https://www.congress.gov/help/field-values/policy-area#32,Taxation
https://www.congress.gov/help/field-values/policy-area#33,Transportation and Public Works
https://www.congress.gov/help/field-values/policy-area#34,Water Resources Development
